,Location,Latitude,Longitude,Country,ESTNUM
560,Kunming,24.880095,102.832891,China,1
561,"Shenzhen, China",22.543096,114.057865,China,18
562,Kavrepalanchok District, 27.525942,85.56121,Nepal,4
563,Quang Ninh Province,21.006382,107.292514,Vietnam,18
564,Sarawak,1.553278,110.359213,Malaysia,1
565,Harare,-17.825167,31.03351,Zimbabwe,1
566,Qinzhou,21.979933,108.654146,China,12
567,Dongxing,21.547821,107.971826,China,85
568,Musi Rawas Regency,-3.095654,103.08179,Indonesia,1
569,Hanoi,21.003118,105.820141,Vietnam,
570,Guangzhou,23.12911,113.264385,China,30
571,Liancheng,25.710538,116.754472,China,4
572,Guangzhou / Kunming,23.12911,113.264384999999,China,51
573,"Parit Jamil, State of Johor",1.944526,102.656591,Malaysia,13
574,Nong Khai,17.87828,102.741264,Thailand,15
575,Hanoi,21.003118,105.820141,Vietnam,9
576,Dien Chau district,19.017969,105.570887,Vietnam,5
577,Province of East Mashonaland,-18.587164,31.262637,Zimbabwe,1
578,Monze,-16.280321,27.473257,Zambia,1
579,Manungu,-16.321162,27.474821,Zambia,1
580,Liching,24.978282,121.539482,China - Taiwan,1
581,Hung Yen,20.852571,106.016997,Vietnam,80
582,Harare,-17.825167,31.03351,Zimbabwe,1
583,Harare,-17.825167,31.03351,Zimbabwe,1
584,"Bertoua, East Region",4.579195,13.676796,Cameroon,200
585,Matusadona,-16.431667,30.863889,Zimbabwe,2
586,Matusadona,-16.431667,30.863889,Zimbabwe,2
587,Rushinga,-16.646518,32.265389,Zimbabwe,4
588,Rushinga District,-16.646518,32.265389,Zimbabwe,1
589,"Lahad Datu, Sabah",5.024206,118.330746,Malaysia,26
590,"Zhao’an, Fujian",23.711579,117.175184,China,3
591,"Mang City, Dehong, Yunnan",24.43369,98.588086,China,3
592,Soekarno-Hatta Airport,-6.127528,106.653706,Indonesia,
593,"Lushui County, Nujiang, Yunnan",25.822879,98.857977,China,1
594,Liuzhou,24.326292,109.428608,China,4
595,Jomo Kenyatta International Airport,-1.32271,36.926069,Kenya,500
596,"Butterworth, State of Penang",5.438031,100.388192,Malaysia,52
597,Zhujiang New Town,23.121712,113.320115,China,9
598,Jinan,36.6512,117.120095,China,1
599,Guangzhou,23.12911,113.264385,China,16
600,Nanning,22.817002,108.366543,China,3
601,Zhengzhou,34.746611,113.625328,China,2
602,Ho Chi Minh City,10.823099,106.629662,Vietnam,3
603,Quang Ninh Province,21.006382,107.292514,Vietnam,47
604,Quang Ninh,21.006382,107.292514,Vietnam,129
605,Gokwe,-18.216727,28.947042,Zimbabwe,3
606,"Centrepoint, Singapore",1.302155,103.839758,Singapore,
607,"Singkawang, West Kalimantan",0.90602,108.987205,Indonesia,
608,"Jingjiang, Jiangsu province",31.982751,120.277138,China,1
609,Guangxi,23.72476,108.807619,China,7
610,Kampala,0.347596,32.58252,Uganda,45
611,"Chainpur, Sankhuwasabha District",27.264074,87.24193,Nepal,2
612,Jomo Kenyatta International Airport,-1.32271,36.926069,Kenya,0.5
613,Bhimgad,15.58902,74.292752,India,2
614,"Zhongshan, Guangdong Province",22.517585,113.39277,China,1600
615,Mushandike,-20.2619278,30.6869866,Zimbabwe,1
616,Dongxing,21.547821,107.971826,China,56
617,Gokwe,-18.216727,28.947042,Zimbabwe,1
618,Chipata,-13.64451,32.6447,Zambia,1
619,Hwange,-18.355878,26.501998,Zimbabwe,1
620,Harare,-17.825167,31.03351,Zimbabwe,1
621,Pampanga,15.079409,120.619989,Philippines,4
622,Kigum,3.288485,32.87895,Uganda,2
623,Bao'an District,22.555259,113.884019,China,1
624,Bao'an District,22.555259,113.884019,China,3
625,"Thingdawl, State of Mizoram",24.166324,92.694659,India,123
626,Kathmandu,27.717245,85.323959,Nepal,2
627,"Futian District, Shenzhen",22.521523,114.055023,China,18
628,Cotonou,6.370293,2.391236,Benin,70
629,Lau Fau Shan,22.468172,113.984489,China - Hong Kong,130
630,"Tuen Mun, Hong Kong",22.39083,113.972513,China - Hong Kong,361
631,Qingdao,36.067108,120.382609,China,1
632,Qingdao Customs,36.266675,120.383123,China,1
633,Sichuan,30.263803,102.805475,China,1
634,Fangchenggang,21.617752,108.34536,China,15
635,Nam Can International Border Gate,8.815307,105.055742,Vietnam,2
636,Windhoek,-22.560881,17.065755,Namibia,1
637,"Luohu District, Shenzhen",22.54817,114.131764,China,32
638,Gwalior,26.218287,78.182831,India,3
639,"Nilkhanta Municipality, Dhading",27.913103,84.908894,Nepal,2
640,Juba,4.859363,31.57125,South Sudan,2
641,Cao Bang,22.635689,106.252214,Vietnam,4
642,"Champhai, State of Mizoram",23.456571,93.328193,India,93
643,Kathmandu,27.717245,85.323959,Nepal,1
644,Broadhurst,-24.628769,25.927582,Botswana,1
645,Nabarangpur district,19.500132,82.301773,India,1
646,Fangchenggang,21.617752,108.34536,China,6
647,Jomo Kenyatta International Airport,-1.32271,36.926069,Kenya,500
648,Murtalla Muhammed International Airport,6.581819,3.321135,Nigeria,381
649,Mutare,-18.975771,32.650351,Zimbabwe,1
650,Kafue,-15.764359,28.176629,Zambia,2
651,Lok Ma Chau,22.509884,114.081506,China - Hong Kong,3
652,Hoedspruit,-24.35601,30.947981,South Africa,1
653,Medan,3.600425,98.682064,Indonesia,8
654,Ninh Binh,20.250615,105.974454,Vietnam,22
655,Ninh Binh Province,20.250615,105.974454,Vietnam,22
656,Kwai Chung Customhouse Cargo Examination Compound,22.36685,114.130259,China - Hong Kong,4000
657,"Pench National Park, State of Madhya Pradesh",21.762953,79.339113,India,1
658,Mizoram,23.164543,92.937574,India,4
659,Kamwenge District,0.225793,30.481845,Uganda,4
660,"Kempton Park, Gauteng",-26.094408,28.229271,South Africa,1
661,Nelspruit,-25.475298,30.969416,South Africa,1
662,"Kudal District, State of Maharashtra",16.048481,73.794852,India,1
663,Mariangwe,-17.0925,31.028056,Zimbabwe,1
664,Shenzhen,22.543096,114.057865,China,25
665,Hong Kong,22.319201,114.169612,China - Hong Kong,7300
666,Jialong,30.850402,81.127874,China,14
667,"Medan, Province of North Sumatra",3.600425,98.682064,Indonesia,13
668,Otavi,-19.633976,17.331667,Namibia,1
669,"Jingdong, Pu'er, Yunnan",24.446731,100.833877,China,120
670,Quang Ninh,21.006382,107.292514,Vietnam,7
671,Tengchong,25.020439,98.490966,China,2
672,Guangdong-Fujian highway checkpoint,23.379033,113.763283,China,65
673,Jiaoling,24.6587,116.171355,China,73
674,Meizhou,24.288578,116.122523,China,130
675,"Labuhan Batu Regency, Province of North Sumatra",2.343986,100.170326,Indonesia,12
676,Hong Kong,22.319201,114.169612,China - Hong Kong,2100
677,"Kuching, State of Sarawak",1.553504,110.359293,Malaysia,
678,Jambi,-1.610123,103.61312,Indonesia,1
679,"Putuo, Zhejiang",29.97176,122.323867,China,2
680,Quang Ninh,21.006382,107.292514,Vietnam,51
681,"Digapahandi, Ganjam district",19.377738,84.566767,India,1
682,Jombang District,-7.574087,112.28609,Indonesia,657
683,"Ngaoundal, Region of Adamaoua",6.461337,13.27212,Cameroon,128
684,Tzaneen,-23.831985,30.135835,South Africa,1
685,Sa Thay District,14.435578,107.763621,Vietnam,2
686,Rundu,-17.925329,19.753215,Namibia,3
687,Meizhou,24.288578,116.122523,China,67
688,"Guangfu, Province of Guangdong",24.828349,116.183548,China,61
689,"Koch Goma, North Region",2.600292,32.169771,Uganda,25
690,Qingdao Airport,36.266675,120.383123,China,4
691,"Mbare, Harare",-17.864261,31.036377,Zimbabwe,2
692,Harare,-17.825167,31.03351,Zimbabwe,3
693,Songkhla Province,7.1756,100.614347,Thailand,213
694,Kuala Lumpur,3.156949,101.712303,Malaysia,
695,Ningbo,29.868336,121.54399,China,58
696,Thanh Hoa,20.129128,105.313118,Vietnam,
697,Cumbum,9.734427,77.280742,India,1
698,Gaoyao,23.025305,112.457981,China,61
699,"Belgavi, Dandeli",15.249117,74.622043,India,16
700,Kampala,0.347596,32.58252,Uganda,17
702,Houqiao Port,25.374266,98.204847,China,6
703,"Mont Darwin District, Province of Central Mashonaland",-16.769823,31.576957,Zimbabwe,1
704,New Delhi,28.613939,77.209021,India,86
705,Gulu Town,2.772404,32.288073,Uganda,33
706,"Belagavi, Karnataka",15.849695,74.497674,India,1
707,Panauti,27.58287,85.509723,Nepal,2
708,Ho Chi Minh City,10.823099,106.629662,Vietnam,277
709,Adjumani,3.3768,31.79341,Uganda,
710,West Kalimantan,-0.278781,111.475285,Indonesia,43
711,Sai Kung,22.383689,114.270787,China - Hong Kong,
712,Lusaka,-15.387526 ,28.322817,Zambia,6
713,Shenzhen's Futian Port,22.515747,114.069799,China,5
714,Yunnan,24.475285,101.343106,China,
715,"Balaghat, Madhya Pradesh",21.812876,80.183829,India,2
716,Jomo Kenyatta International Airport,-1.32271,36.926069,Kenya,100
717,Oshakati,-17.789453,15.705779,Namibia,1
718,Hong Kong International Airport,22.308047,113.918481,China - Hong Kong,1
719,"Kilangran Village, Jambi",-1.610123,103.61312,Indonesia,779
720,Coimbatore,11.016845,76.955832,India,2
721,"Thap Sakae District, Prachuap",11.525923,99.567348,Thailand,140
722,Kathmandu,27.717245,85.323959,Nepal,1
723,Ratchaburi,13.528289,99.813421,Thailand,217
