,Location,Latitude,Longitude,Country,ESTNUM
69,Ujong Pasir,2.189126,102.272676,Malaysia,35
70,Bahan,16.814317,96.158001,Myanmar,13
71,Kedah / Perak,6.118396,100.368459,Malaysia,3
73,Parit Jawa,1.959316,102.643229,Malaysia,15
74,Ho Chi Minh City's Tan Son Nhat airport,10.818463,106.658825,Vietnam,33
75,"Butterworth, State of Penang",5.438031,100.388192,Malaysia,67
76,Kathmandu,27.717245,85.323959,Nepal,46
77,Naypyidaw,19.763306,96.07851,Myanmar,
78,Hai Phong,20.844911,106.688084,Vietnam,
79,Guwahati Airport,26.106473,91.586047,India,320
80,Khudengthabi,24.303754,94.254486,India,40
81,Guangdong,23.379033,113.763283,China,2090
82,Quang Tri,16.740307,107.185468,Vietnam,
83,Bellary,15.139393,76.921443,India,3
84,Ho Chi Minh City,10.823099,106.629662,Vietnam,13
85,Muang,8.047284,98.777033,Thailand,105
86,Da Lat,11.940419,108.458313,Vietnam,3
87,Yen Thanh,19.051129,105.453672,Vietnam,100
88,Alberton,-26.260071,28.127831,South Africa,1
89,Thab Sakae District,11.525923,99.567348,Thailand,106
90,Parit Jamil,1.944526,102.656591,Malaysia,23
91,Quang Ninh,21.006382,107.292514,Vietnam,51
92,Dharan,26.794386,87.281727,Nepal,27
93,Panchthar,27.20364,87.815672,Nepal,1
94,Thanh Hoa,20.129128,105.313118,Vietnam,6
95,Kolkata,22.572646, 88.363895,India,501
96,Imphal,24.817011,93.936844,India,55
97,Ho Chi Minh City,10.823099,106.629662,Vietnam,
98,Chi Linh,21.11325,106.303195,Vietnam,32
99,Lumut,4.236302,100.63222,Malaysia,153
